,Total Trades,Total Return,Avg Return Per Trade,Avg Profit Per Trade,Avg Loss Per Trade,Max Profit Per Trade,Max Loss Per Trade,Avg Return Per Month,Avg Return Per Year,CAGR,Max Drawdown
1-Minute,1242,562.77%,0.15%,0.48%,-0.38%,6.06%,-2.08%,2.76%,41.53%,42.64%,-5.63%
15-Minute,1283,832.11%,0.18%,0.47%,-0.41%,5.51%,-3.93%,3.63%,50.47%,52.07%,-11.33%
