Date,Expiry_call,En_Date_call,Instrument Type_call,Capital_call,Entry_Time_call,Ce_En_Date_call,Ce_Ex_Date_call,Atm_Strike_call,Ticker_Ce_Short_call,Ticker_otm_Ce_Long_call,Ticker_itm_Ce_Long_call,Ce_Short_Strike_call,Ce_otm_Long_Strike_call,Ce_itm_Long_Strike_call,Ce_Short_En_Price_call,Ce_Short_Ex_Price_call,Ce_otm_Long_En_Price_call,Ce_otm_Long_Ex_Price_call,Ce_itm_Long_En_Price_call,Ce_itm_Long_Ex_Price_call,Ce_Exit Time_call,Ce_Exit_Reason_call,Ce_Stop_Loss_call,Ce_Total_Premium_Received_call,Ce_Target_call,Ce_Max_Profit_call,Ce_Max_Loss_call,Ce_Total_PnL_call,Ce_ATM_Delta_Entry_call,Ce_ITM_Delta_Entry_call,Ce_OTM_Delta_Entry_call,Ce_ATM_Delta_Exit_call,Ce_ITM_Delta_Exit_call,Ce_OTM_Delta_Exit_call,Ticker_Pe_Short_call,Ticker_otm_Pe_Long_call,Ticker_itm_Pe_Long_call,Pe_En_Date_put,Pe_Ex_Date_put,Ticker_Pe_Short_put,Ticker_otm_Pe_Long_put,Ticker_itm_Pe_Long_put,Pe_Short_Strike_put,Pe_otm_Long_Strike_put,Pe_itm_Long_Strike_put,Pe_Short_En_Price_put,Pe_Short_Ex_Price_put,Pe_otm_Long_En_Price_put,Pe_otm_Long_Ex_Price_put,Pe_itm_Long_En_Price_put,Pe_itm_Long_Ex_Price_put,Pe_Exit Time_put,Pe_Exit_Reason_put,Pe_Stop_Loss_put,Pe_Total_Premium_Received_put,Pe_Target_put,Pe_Max_Profit_put,Pe_Max_Loss_put,Pe_Total_PnL_put,Pe_ATM_Delta_Entry_put,Pe_ITM_Delta_Entry_put,Pe_OTM_Delta_Entry_put,Pe_ATM_Delta_Exit_put,Pe_ITM_Delta_Exit_put,Pe_OTM_Delta_Exit_put,TotalM2M,Cumulative_PnL,Drawdown
1/4/2023,1/5/2023,1/4/2023 0:00,CE,100000,9:30,1/4/2023 0:00,1/4/2023 15:15,43600,BANKNIFTY,BANKNIFTY,BANKNIFTY,43600,42700,44500,167.8,31.8,867.15,380.5,7.2,6.05,15:15:00,End of Day,-9105.075,-8081.25,1690.425,5634.75,-13007.25,-3237,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,1/4/2023 0:00,1/4/2023 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,43600,42700,44500,221.75,619.6,22.4,70.1,959.8,1493.25,15:15:00,End of Day,-9685.2,-8080.5,2164.05,7213.5,-13836,-3218.25,,-1,0,,-1,0,-6455.25,146027.25,-19233.75
5/4/2022,5/5/2022,5/4/2022 0:00,CE,100000,9:30,5/4/2022 0:00,5/4/2022 15:15,36300,BANKNIFTY,BANKNIFTY,BANKNIFTY,36300,35600,37000,245.9,37,741.3,138.3,37.4,16.25,15:15:00,End of Day,-7783.65,-4303.5,2195.55,7318.5,-11119.5,-3095.25,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,5/4/2022 0:00,5/4/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,36300,35600,37000,256.6,968.9,52.95,364.05,746.25,1646.4,15:15:00,End of Day,-7905.975,-4290,2279.25,7597.5,-11294.25,-3200.25,,-1,0,,-1,0,-6295.5,122717.25,-6540
9/29/2022,9/29/2022,9/29/2022 0:00,CE,100000,9:30,9/29/2022 0:00,9/29/2022 15:15,38200,BANKNIFTY,BANKNIFTY,BANKNIFTY,38200,37400,39000,159.25,0.55,780,272.5,10.85,0.3,15:15:00,End of Day,-8190,-7085.25,1572.075,5240.25,-11700,-3009.75,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,9/29/2022 0:00,9/29/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,38200,37400,39000,184.7,529.7,13.55,0.4,840.9,1333.65,15:15:00,End of Day,-8542.275,-7275.75,1785.375,5951.25,-12203.25,-3156,,,,,,,-6165.75,136973.25,-13374.75
9/27/2018,9/27/2018,9/27/2018 0:00,CE,100000,9:30,9/27/2018 0:00,9/27/2018 15:15,25400,BANKNIFTY,BANKNIFTY,BANKNIFTY,25400,24900,25900,88.95,0.1,470.05,105.1,1.35,0.1,15:15:00,End of Day,-4935.525,-4402.5,941.4,3138,-7050.75,-2827.5,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,9/27/2018 0:00,9/27/2018 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,25400,24900,25900,114.1,359.5,5.8,0.2,535.85,846.1,15:15:00,End of Day,-5310.9,-4701.75,1162.125,3873.75,-7587,-2792.25,,,,,,,-5619.75,-3518.25,-6269.25
12/16/2021,12/16/2021,12/16/2021 0:00,CE,100000,9:30,12/16/2021 0:00,12/16/2021 15:15,37000,BANKNIFTY,BANKNIFTY,BANKNIFTY,37000,36300,37700,145.6,0.25,708.1,239.5,10.65,0.15,15:15:00,End of Day,-7435.05,-6413.25,1321.875,4406.25,-10621.5,-2826,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,12/16/2021 0:00,12/16/2021 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,37000,36300,37700,143.55,459.05,9.25,0.2,710,1165.35,15:15:00,End of Day,-7447.125,-6482.25,1295.325,4317.75,-10638.75,-2770.5,,,,,,,-5596.5,105339,-23823.75
9/24/2020,9/24/2020,9/24/2020 0:00,CE,100000,9:30,9/24/2020 0:00,9/24/2020 15:15,20900,BANKNIFTY,BANKNIFTY,BANKNIFTY,20900,20500,21300,104.2,0.3,384.45,2.6,10.25,0.15,15:15:00,End of Day,-4036.725,-2794.5,1053.9,3513,-5766.75,-2762.25,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,9/24/2020 0:00,9/24/2020 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,20900,20500,21300,134,426.65,16.75,28.05,438.45,826.9,15:15:00,End of Day,-4375.875,-2808,1303.65,4345.5,-6251.25,-2783.25,,,,,,,-5545.5,37075.5,-5545.5
4/13/2022,4/13/2022,4/13/2022 0:00,CE,100000,9:30,4/13/2022 0:00,4/13/2022 15:15,37900,BANKNIFTY,BANKNIFTY,BANKNIFTY,37900,37100,38700,149.1,0.5,841,369.5,5.2,0.05,15:15:00,End of Day,-8830.5,-8220,1180.8,3936,-12615,-2691.75,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,4/13/2022 0:00,4/13/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,37900,37100,38700,113.95,432.5,5.75,0.15,772.8,1229.75,15:15:00,End of Day,-8460.375,-8259.75,877.275,2924.25,-12086.25,-2786.25,,,,,,,-5478,123072.75,-6111
12/26/2022,12/29/2022,12/26/2022 0:00,CE,100000,9:30,12/26/2022 0:00,12/26/2022 15:15,41900,BANKNIFTY,BANKNIFTY,BANKNIFTY,41900,41100,42700,326.3,781.2,922.15,1500.8,61,206.8,15:15:00,End of Day,-9682.575,-4958.25,2661.525,8871.75,-13832.25,-2780.25,0.513256993,0.10669962,0.909122977,0.513256993,0.10669962,0.909122977,BANKNIFTY,BANKNIFTY,BANKNIFTY,12/26/2022 0:00,12/26/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,41900,41100,42700,278.8,103.4,73.1,39.2,811.6,335,15:15:00,End of Day,-9167.55,-4906.5,2232.45,7441.5,-13096.5,-2395.5,-0.486743007,-0.89330038,-0.090877023,-0.486743007,-0.89330038,-0.090877023,-5175.75,145798.5,-19462.5
9/14/2022,9/15/2022,9/14/2022 0:00,CE,100000,9:30,9/14/2022 0:00,9/14/2022 15:15,40700,BANKNIFTY,BANKNIFTY,BANKNIFTY,40700,39900,41500,265.65,716.4,843.65,1468.35,27.6,148.85,15:15:00,End of Day,-8858.325,-5099.25,2318.625,7728.75,-12654.75,-2333.25,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,9/14/2022 0:00,9/14/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,40700,39900,41500,282.8,93,61.25,27.7,843.25,325.2,15:15:00,End of Day,-9043.125,-5083.5,2464.2,8214,-12918.75,-2580,,-1,0,,-1,0,-4913.25,143568,-6780
10/1/2020,10/1/2020,10/1/2020 0:00,CE,100000,9:30,10/1/2020 0:00,10/1/2020 15:15,21900,BANKNIFTY,BANKNIFTY,BANKNIFTY,21900,21500,22300,112.25,376.8,406.9,778,6.35,5.35,15:15:00,End of Day,-4272.45,-2831.25,1007.775,3359.25,-6103.5,-2385,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,10/1/2020 0:00,10/1/2020 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,21900,21500,22300,125.5,0.2,20.15,0.15,420.05,27.85,15:15:00,End of Day,-4411.575,-2838,1129.05,3763.5,-6302.25,-2424,,,,,,,-4809,32511.75,-10109.25
1/5/2022,1/6/2022,1/5/2022 0:00,CE,100000,9:30,1/5/2022 0:00,1/5/2022 15:15,37100,BANKNIFTY,BANKNIFTY,BANKNIFTY,37100,36400,37800,229.7,650.2,763.4,1328.7,27.6,150.35,15:15:00,End of Day,-8015.7,-4974,1906.2,6354,-11451,-2294.25,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,1/5/2022 0:00,1/5/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,37100,36400,37800,215.75,39.05,47.2,13.55,709.4,237.35,15:15:00,End of Day,-7845.6,-4876.5,1771.65,5905.5,-11208,-2284.5,,-1,0,,-1,0,-4578.75,110114.25,-19048.5
10/1/2019,10/3/2019,10/1/2019 0:00,CE,100000,9:30,10/1/2019 0:00,10/1/2019 15:15,29400,BANKNIFTY,BANKNIFTY,BANKNIFTY,29400,28800,30000,342,62.95,763.35,185.25,122.55,23.2,15:15:00,End of Day,-8015.175,-3028.5,2894.4,9648,-11450.25,-1790.25,0.509374972,0.028301811,0.976877837,0.509374972,0.028301811,0.976877837,BANKNIFTY,BANKNIFTY,BANKNIFTY,10/1/2019 0:00,10/1/2019 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,29400,28800,30000,222.95,825.2,48.8,315.6,620,1386,15:15:00,End of Day,-6812.4,-3343.5,1876.95,6256.5,-9732,-2575.5,-0.490625028,-0.971698189,-0.023122163,-0.490625028,-0.971698189,-0.023122163,-4365.75,7587.75,-7818.75
12/15/2022,12/15/2022,12/15/2022 0:00,CE,100000,9:30,12/15/2022 0:00,12/15/2022 15:15,44000,BANKNIFTY,BANKNIFTY,BANKNIFTY,44000,43100,44900,119.2,0.3,957.95,413.95,3.1,0.15,15:15:00,End of Day,-10058.475,-10839.75,825.975,2753.25,-14369.25,-4637.25,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,12/15/2022 0:00,12/15/2022 10:38,BANKNIFTY,BANKNIFTY,BANKNIFTY,44000,43100,44900,72.6,57.55,4.25,3.65,856.6,856.4,10:38:00,Target,-9494.625,-10734.75,438.975,1463.25,-13563.75,439.5,,,,,,,-4197.75,159170.25,-6090.75
6/18/2020,6/18/2020,6/18/2020 0:00,CE,100000,9:30,6/18/2020 0:00,6/18/2020 15:15,20100,BANKNIFTY,BANKNIFTY,BANKNIFTY,20100,19700,20500,169.85,829.05,443.8,1230,34.45,432.5,15:15:00,End of Day,-4659.9,-2078.25,1486.575,4955.25,-6657,-2012.25,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,6/18/2020 0:00,6/18/2020 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,20100,19700,20500,173.75,0.2,45.4,0.25,439.15,0.15,15:15:00,End of Day,-4676.7,-2055.75,1535.625,5118.75,-6681,-2055.75,,,,,,,-4068,12261.75,-8427.75
8/24/2021,8/26/2021,8/24/2021 0:00,CE,100000,9:30,8/24/2021 0:00,8/24/2021 15:15,35200,BANKNIFTY,BANKNIFTY,BANKNIFTY,35200,34500,35900,230.9,588,743.5,1240.75,35.4,123.45,15:15:00,End of Day,-7806.75,-4756.5,2041.65,6805.5,-11152.5,-1933.5,0.509374972,0.031620115,0.973948796,0.509374972,0.031620115,0.973948796,BANKNIFTY,BANKNIFTY,BANKNIFTY,8/24/2021 0:00,8/24/2021 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,35200,34500,35900,231.85,71.85,44.55,22.95,738.55,306.85,15:15:00,End of Day,-7817.775,-4791,2059.65,6865.5,-11168.25,-1999.5,-0.490625028,-0.968379885,-0.026051204,-0.490625028,-0.968379885,-0.026051204,-3933,125229.75,-3933
7/27/2022,7/28/2022,7/27/2022 0:00,CE,100000,9:30,7/27/2022 0:00,7/27/2022 15:15,36300,BANKNIFTY,BANKNIFTY,BANKNIFTY,36300,35600,37000,194.15,536.3,690.7,1170,26.7,103.8,15:15:00,End of Day,-7252.35,-4936.5,1909.35,6364.5,-10360.5,-1918.5,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,7/27/2022 0:00,7/27/2022 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,36300,35600,37000,243.5,75.9,37.3,15.75,772.5,342.35,15:15:00,End of Day,-7741.65,-4842,2349.9,7833,-11059.5,-1747.5,,-1,0,,-1,0,-3666,135777,-4237.5
6/11/2020,6/11/2020,6/11/2020 0:00,CE,100000,9:30,6/11/2020 0:00,6/11/2020 15:15,21000,BANKNIFTY,BANKNIFTY,BANKNIFTY,21000,20600,21400,180.55,0.2,430,0.35,51.65,0.25,15:15:00,End of Day,-4515,-1808.25,1722.375,5741.25,-6450,-1805.25,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,6/11/2020 0:00,6/11/2020 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,21000,20600,21400,215,479.95,65.1,80.85,482,876.35,15:15:00,End of Day,-4883.55,-1756.5,2011.05,6703.5,-6976.5,-1797,,,,,,,-3602.25,16900.5,-3789
4/28/2021,4/29/2021,4/28/2021 0:00,CE,100000,9:30,4/28/2021 0:00,4/28/2021 15:15,33000,BANKNIFTY,BANKNIFTY,BANKNIFTY,33000,32300,33700,328.85,791.8,835.6,1450.4,60.45,254.35,15:15:00,End of Day,-8773.8,-3575.25,2621.475,8738.25,-12534,-1758,,0,1,,0,1,BANKNIFTY,BANKNIFTY,BANKNIFTY,4/28/2021 0:00,4/28/2021 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,33000,32300,33700,278,60.8,90.7,22.85,712.2,223.25,15:15:00,End of Day,-8302.35,-3703.5,2148.75,7162.5,-11860.5,-1836,,-1,0,,-1,0,-3594,89602.5,-14424.75
4/23/2020,4/23/2020,4/23/2020 0:00,CE,100000,9:30,4/23/2020 0:00,4/23/2020 15:15,19800,BANKNIFTY,BANKNIFTY,BANKNIFTY,19800,19400,20200,176.85,480.25,428.1,880,48.65,79.45,15:15:00,End of Day,-4495.05,-1845.75,1684.125,5613.75,-6421.5,-1861.5,,,,,,,BANKNIFTY,BANKNIFTY,BANKNIFTY,4/23/2020 0:00,4/23/2020 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,19800,19400,20200,211.25,0.15,59.6,0.2,475.55,0.65,15:15:00,End of Day,-4825.8,-1689.75,1973.025,6576.75,-6894,-1681.5,,,,,,,-3543,10176,-5230.5
9/20/2019,9/26/2019,9/20/2019 0:00,CE,100000,9:30,9/20/2019 0:00,9/20/2019 15:15,26900,BANKNIFTY,BANKNIFTY,BANKNIFTY,26900,26400,27400,310.3,2142.9,640.35,2641.5,115.15,1660,15:15:00,End of Day,-6723.675,-2023.5,2679.3,8931,-9605.25,-1788,0.52095536,0.231409942,0.803468636,0.52095536,0.231409942,0.803468636,BANKNIFTY,BANKNIFTY,BANKNIFTY,9/20/2019 0:00,9/20/2019 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,26900,26400,27400,286.45,13.05,115,10.2,580,27,15:15:00,End of Day,-6457.5,-1831.5,2420.55,8068.5,-9225,-1665,-0.47904464,-0.768590058,-0.196531364,-0.47904464,-0.768590058,-0.196531364,-3453,11953.5,-3453
3/6/2018,3/8/2018,3/6/2018 0:00,CE,100000,9:30,3/6/2018 0:00,3/6/2018 15:15,25000,BANKNIFTY,BANKNIFTY,BANKNIFTY,25000,24500,25500,179.15,21.9,555.05,155.55,26.5,2.25,15:15:00,End of Day,-5828.025,-3348.75,1483.875,4946.25,-8325.75,-1638.75,0.509374972,0.030871169,0.97461168,0.509374972,0.030871169,0.97461168,BANKNIFTY,BANKNIFTY,BANKNIFTY,3/6/2018 0:00,3/6/2018 15:15,BANKNIFTY,BANKNIFTY,BANKNIFTY,25000,24500,25500,138.55,531.2,26.95,172.8,475,994.95,15:15:00,End of Day,-5532.975,-3372.75,1013.175,3377.25,-7904.25,-1792.5,-0.490625028,-0.969128831,-0.02538832,-0.490625028,-0.969128831,-0.02538832,-3431.25,-1843.5,-4594.5
