Date,Open,High,Low,Close,Adj Close,Volume,high_roll_max,low_roll_min,head_shoulder_pattern,close_roll_max,close_roll_min,multiple_top_bottom_pattern,support,resistance,triangle_pattern,trend_high,trend_low,wedge_pattern,channel_pattern,double_pattern,slope,intercept,signal
2023-02-16,6505.0,6524.75,6420.0,6437.2998046875,6378.04345703125,529048,6524.75,6310.0,Inverse Head and Shoulder,6489.9501953125,6437.2998046875,,206686.81909180694,,,1.0,1.0,Wedge Up,Channel Up,Double Bottom,31.250000000001574,5521.200195312448,HL
2023-02-17,6410.0,6475.7998046875,6367.5,6416.7001953125,6357.6337890625,616044,6524.75,6367.5,,6489.9501953125,6416.7001953125,,,-329719.6595020406,,-1.0,-1.0,,,,-52.65039062500175,8122.112304687559,
2023-02-20,6425.0,6443.5498046875,6343.0,6367.39990234375,6308.787109375,465732,6524.75,6343.0,,6437.2998046875,6367.39990234375,,,-124069.46341800236,,-1.0,-1.0,,,,-20.599609374999282,7096.487304687476,LL
2023-02-21,6395.0,6408.25,6352.0,6379.25,6320.5283203125,448509,6475.7998046875,6343.0,,6416.7001953125,6367.39990234375,,,-306455.2840576315,Ascending Triangle,-1.0,-1.0,,,,-49.30029296875225,8043.609863281327,HL
2023-02-22,6331.0,6360.0,6185.0,6198.64990234375,6141.5908203125,934700,6443.5498046875,6185.0,,6379.25,6198.64990234375,,79419.1032617104,,,-1.0,-1.0,,,,11.850097656250195,5964.496582031241,
2023-02-23,6214.0,6262.4501953125,6122.64990234375,6202.35009765625,6145.2568359375,809768,6408.25,6122.64990234375,Head and Shoulder,6379.25,6198.64990234375,,,-1107444.7799169887,Ascending Triangle,-1.0,-1.0,,,Double Top,-180.6000976562479,12700.253417968677,LH
2023-02-24,6253.75,6286.0,6200.0,6236.25,6178.8447265625,607761,6360.0,6122.64990234375,,6236.25,6198.64990234375,,29140.78588866246,,Ascending Triangle,-1.0,1.0,,,Double Bottom,3.7001953124984808,6065.442871093809,HL
2023-02-27,6215.0,6241.0,6135.0,6194.5,6137.47900390625,595004,6286.0,6122.64990234375,,6236.25,6194.5,,214940.99877928852,,,-1.0,1.0,,,Double Top,33.89990234374864,4948.053710937552,LH
2023-02-28,6220.0,6246.60009765625,6090.0,6112.10009765625,6055.83740234375,977852,6286.0,6090.0,,6236.25,6112.10009765625,,,-247357.42907714832,,-1.0,-1.0,,,,-41.74999999999998,7822.749999999998,LL
2023-03-01,6100.10009765625,6203.9501953125,6100.10009765625,6154.85009765625,6098.19384765625,544804,6246.60009765625,6090.0,,6194.5,6112.10009765625,,,-497750.9507958889,Ascending Triangle,-1.0,-1.0,Wedge Down,Channel Down,Double Top,-82.39990234375,9408.09619140625,HL
2023-03-02,6165.2001953125,6209.60009765625,6070.0498046875,6083.0,6027.00537109375,582298,6246.60009765625,6070.0498046875,,6154.85009765625,6083.0,,264450.35009766166,,,-1.0,-1.0,,,,42.750000000000895,4402.100097656214,LL
2023-03-03,6121.7998046875,6141.0,6073.0,6100.0498046875,6043.89794921875,712037,6209.60009765625,6070.0498046875,,6154.85009765625,6083.0,,,-429188.47007321485,Ascending Triangle,-1.0,-1.0,Wedge Down,Channel Down,Double Top,-71.85009765624864,9100.704101562442,LH
2023-03-06,6140.0,6183.0,6120.0498046875,6134.85009765625,6078.3779296875,608477,6209.60009765625,6070.0498046875,,6134.85009765625,6083.0,,109964.90415525988,,Ascending Triangle,-1.0,1.0,,,,17.049804687500906,5366.908203124961,HL
2023-03-08,6129.0,6129.0,5985.0,5996.85009765625,5941.6484375,1342795,6183.0,5985.0,,6134.85009765625,5996.85009765625,,213295.77749514647,,,-1.0,-1.0,,,,34.800292968750114,4603.6372070312445,
2023-03-09,6000.0,6040.0,5890.10009765625,5901.2998046875,5846.97802734375,940858,6183.0,5890.10009765625,,6134.85009765625,5901.2998046875,,,-802172.5229492311,,-1.0,-1.0,,,,-138.0000000000021,12206.850097656346,
2023-03-10,5865.0,5887.39990234375,5781.0,5874.14990234375,5820.07763671875,770861,6129.0,5781.0,Head and Shoulder,5996.85009765625,5874.14990234375,,,-550980.1308300641,,-1.0,-1.0,,,Double Top,-95.5502929687525,10296.613281250116,LH
2023-03-13,5869.0,5947.5,5811.0,5833.5498046875,5779.8515625,793356,6040.0,5781.0,,5901.2998046875,5833.5498046875,,,-151230.1122021757,,-1.0,-1.0,,,,-27.14990234375141,7150.195312500068,HL
2023-03-14,5840.0,5850.0,5716.14990234375,5731.5498046875,5678.7900390625,1372565,5947.5,5716.14990234375,,5874.14990234375,5731.5498046875,,,-224919.12729980247,,-1.0,-1.0,,,,-40.60009765625296,7782.354492187645,
2023-03-15,5800.0,5820.0,5701.0,5718.75,5666.1083984375,679473,5947.5,5701.0,,5833.5498046875,5718.75,,,-572582.9501953218,,-1.0,-1.0,,,,-102.00000000000165,10729.549804687584,
2023-03-16,5729.7001953125,5755.0,5665.0,5715.10009765625,5662.49169921875,884963,5850.0,5665.0,Head and Shoulder,5731.5498046875,5715.10009765625,,,-66793.42478514022,,-1.0,-1.0,,,Double Top,-12.799804687500538,6358.740234375029,LH
2023-03-17,5740.0498046875,5816.75,5688.10009765625,5732.35009765625,5679.5830078125,1047151,5820.0,5665.0,,5732.35009765625,5715.10009765625,,,-15021.272939447677,Ascending Triangle,-1.0,-1.0,,,,-3.64990234375072,5901.245117187537,HL
2023-03-20,5739.0,5740.4501953125,5485.7001953125,5550.7998046875,5499.7041015625,1712756,5816.75,5485.7001953125,,5732.35009765625,5550.7998046875,,100586.64672851287,,,-1.0,-1.0,,,,17.2499999999995,4835.3500976562755,LL
2023-03-21,5601.7998046875,5715.0,5586.14990234375,5710.10009765625,5657.53759765625,1130114,5816.75,5485.7001953125,,5732.35009765625,5550.7998046875,,,-1021497.3802783594,Ascending Triangle,-1.0,-1.0,,,,-181.55029296875185,15172.965332031352,LH
2023-03-22,5749.7998046875,5857.0,5735.0,5834.2001953125,5780.49560546875,1242534,5857.0,5485.7001953125,,5834.2001953125,5550.7998046875,,926497.6846289723,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,159.30029296875153,-2892.1157226563355,
2023-03-23,5809.5,5900.0,5772.5,5833.0498046875,5779.35595703125,1054419,5900.0,5586.14990234375,Inverse Head and Shoulder,5834.2001953125,5710.10009765625,,722890.7452197095,,,1.0,1.0,Wedge Up,Channel Up,Double Bottom,124.10009765625034,-991.3051757812684,HL
