Date,Open,High,Low,Close,Adj Close,Volume,high_roll_max,low_roll_min,head_shoulder_pattern,close_roll_max,close_roll_min,multiple_top_bottom_pattern,support,resistance,triangle_pattern,trend_high,trend_low,wedge_pattern,channel_pattern,double_pattern,slope,intercept,signal
2023-01-02,6979.89990234375,7039.9501953125,6950.10009765625,7017.9501953125,6986.02099609375,212580,,,,,,,,,,,,,,,,,
2023-01-03,7029.9501953125,7039.0,6960.0498046875,6993.60009765625,6961.78173828125,188315,,,,,,,,,,,,,,,,,LH
2023-01-04,7000.0,7062.0,6983.85009765625,7005.35009765625,6973.478515625,319221,7062.0,6950.10009765625,,7017.9501953125,6993.60009765625,,,-163563.0087988432,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,-24.35009765625079,7017.9501953125,HL
2023-01-05,7014.9501953125,7042.2001953125,6945.0,7007.0,6975.12060546875,236570,7062.0,6945.0,,7007.0,6993.60009765625,,89314.10009767293,,Ascending Triangle,1.0,-1.0,,,,11.75000000000238,6981.85009765625,LL
2023-01-06,7007.0,7029.89990234375,6951.0,6982.2001953125,6950.43359375,160184,7062.0,6945.0,,7007.0,6982.2001953125,,18521.99875973723,,,-1.0,-1.0,,,,1.6499023437486637,7002.050292968757,LH
2023-01-09,7040.0,7064.0,7002.89990234375,7034.85009765625,7002.84423828125,298470,7064.0,6945.0,,7034.85009765625,6982.2001953125,,,-167381.5090136418,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,-24.799804687498437,7081.399414062492,HL
2023-01-10,7049.9501953125,7049.9501953125,6889.14990234375,6920.2998046875,6888.81494140625,263888,7064.0,6889.14990234375,,7034.85009765625,6920.2998046875,,371124.7094922004,,,1.0,-1.0,,,,52.64990234374911,6771.600585937501,LL
2023-01-11,6948.0,7033.0,6922.0,7021.9501953125,6990.0029296875,295408,7064.0,6889.14990234375,,7034.85009765625,6920.2998046875,,,-796758.8505225158,Ascending Triangle,-1.0,-1.0,,,,-114.55029296874967,7607.601562499995,LH
2023-01-12,7024.9501953125,7166.9501953125,7024.9501953125,7153.35009765625,7120.80517578125,566492,7166.9501953125,6889.14990234375,,7153.35009765625,6920.2998046875,,733451.2291650722,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,101.6503906249993,6310.397460937504,
2023-01-13,7175.0,7258.0,7138.0,7248.89990234375,7215.919921875,462134,7258.0,6922.0,,7248.89990234375,7021.9501953125,,958606.8901464995,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,131.39990234375077,6102.150878906243,
2023-01-16,7270.0,7334.75,7250.25,7284.85009765625,7251.70654296875,440500,7334.75,7024.9501953125,,7284.85009765625,7153.35009765625,,702454.955668925,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,95.54980468749983,6388.951660156253,
2023-01-17,7280.0,7389.0,7262.85009765625,7377.64990234375,7344.08447265625,385734,7389.0,7138.0,,7377.64990234375,7248.89990234375,,272153.30308103876,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,35.950195312500426,6925.348144531248,HH
2023-01-18,7373.0,7383.0,7270.0,7283.4501953125,7250.3134765625,447736,7389.0,7250.25,,7377.64990234375,7283.4501953125,,682259.6076269044,,,1.0,1.0,Wedge Up,Channel Up,,92.79980468749855,6356.852050781265,HL
2023-01-19,7260.0,7260.0,7186.0498046875,7212.35009765625,7179.53662109375,412001,7389.0,7186.0498046875,Head and Shoulder,7377.64990234375,7212.35009765625,,,-670987.4195263493,,-1.0,-1.0,,,Double Top,-94.19970703125148,8413.846679687513,LH
2023-01-20,7212.35009765625,7265.0,7150.0,7177.14990234375,7144.49658203125,353292,7383.0,7150.0,,7283.4501953125,7177.14990234375,,,-502159.40758300666,,-1.0,-1.0,,,,-71.10009765625117,8136.651367187519,HH
2023-01-23,7125.0,7184.9501953125,6830.0,6849.75,6818.58642578125,998103,7265.0,6830.0,,7212.35009765625,6849.75,,,-233442.58520508397,,-1.0,-1.0,,,,-35.20019531250085,7669.952636718757,
2023-01-24,6882.0,6897.64990234375,6782.60009765625,6809.7001953125,6778.71875,444188,7265.0,6782.60009765625,,7177.14990234375,6809.7001953125,,,-2217734.430400361,,-1.0,-1.0,,,,-327.3999023437484,11760.748535156225,
2023-01-25,6805.9501953125,6830.85009765625,6672.0,6705.10009765625,6674.59423828125,509299,7184.9501953125,6672.0,,6849.75,6705.10009765625,,,-261087.4522509561,,-1.0,-1.0,,,,-40.049804687499794,7450.497070312499,
2023-01-27,6734.0,6799.0,6604.10009765625,6715.60009765625,6685.046875,635582,6897.64990234375,6604.10009765625,,6809.7001953125,6705.10009765625,,,-693969.1242773493,Ascending Triangle,-1.0,-1.0,,,,-104.6000976562494,8483.301757812493,LH
2023-01-30,6747.0,6903.9501953125,6642.5498046875,6887.7001953125,6856.36376953125,699269,6903.9501953125,6604.10009765625,,6887.7001953125,6705.10009765625,,78847.45214844009,,Ascending Triangle,1.0,-1.0,,,,10.500000000000378,6526.600097656239,
2023-01-31,6925.0,7099.0,6892.5498046875,7085.5498046875,7053.31298828125,593220,7099.0,6604.10009765625,,7085.5498046875,6715.60009765625,,1223041.611674792,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,172.10009765625088,3617.798339843733,
2023-02-01,7085.0,7239.0,6981.60009765625,7141.39990234375,7108.9091796875,648015,7239.0,6642.5498046875,,7141.39990234375,6887.7001953125,,1416051.7386865392,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,197.84960937499687,3128.557617187563,
2023-02-02,7100.0,7310.0,7005.0498046875,7167.64990234375,7135.0400390625,647192,7310.0,6892.5498046875,,7167.64990234375,7085.5498046875,,406282.4948632625,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,55.85009765624871,5968.54785156253,HH
2023-02-03,7184.9501953125,7225.0,7131.0,7189.2001953125,7156.4921875,364197,7310.0,6981.60009765625,Inverse Head and Shoulder,7189.2001953125,7141.39990234375,,195306.65502929516,,Ascending Triangle,-1.0,1.0,,,Double Bottom,26.249999999999762,6590.149902343757,HL
2023-02-06,7156.2998046875,7207.75,7112.7998046875,7127.25,7094.82373046875,314446,7310.0,7005.0498046875,,7189.2001953125,7127.25,,160287.86901854462,,,-1.0,1.0,,,,21.550292968748582,6693.543457031282,
2023-02-07,7154.9501953125,7205.0,7052.14990234375,7071.7998046875,7039.6259765625,295067,7225.0,7052.14990234375,,7189.2001953125,7071.7998046875,,,-429485.3244237776,,-1.0,-1.0,,,,-61.95019531249824,8614.054687499956,LH
2023-02-08,7114.0,7293.75,7114.0,7250.35009765625,7217.36376953125,559696,7293.75,7052.14990234375,,7250.35009765625,7071.7998046875,,,-393575.2743115298,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,-55.450195312498245,8458.054687499958,HH
2023-02-09,7250.0,7250.0,7160.0,7179.75,7147.0849609375,334529,7293.75,7052.14990234375,Inverse Head and Shoulder,7250.35009765625,7071.7998046875,,1284554.5084228574,,,1.0,1.0,Wedge Up,Channel Up,Double Bottom,178.5502929687508,2608.0424804687295,HL
2023-02-10,7175.0,7226.89990234375,7147.0498046875,7206.0498046875,7173.26513671875,407822,7293.75,7114.0,Head and Shoulder,7250.35009765625,7179.75,,,-499661.86729003163,Ascending Triangle,-1.0,1.0,,,Double Top,-70.60009765625162,9085.95263671879,LH
2023-02-13,7215.0,7250.0,7155.0,7179.25,7146.5869140625,323236,7250.0,7147.0498046875,,7206.0498046875,7179.25,,195282.52807615986,,,0.0,-1.0,,,,26.29980468749832,6469.655273437551,HL
2023-02-14,7215.14990234375,7229.89990234375,7125.5498046875,7139.2001953125,7106.7197265625,328419,7250.0,7125.5498046875,,7206.0498046875,7139.2001953125,,,-183372.7265234163,,1.0,-1.0,,,,-26.79980468750238,7956.444335937567,
2023-02-15,7138.0,7177.0,7047.64990234375,7151.85009765625,7119.31201171875,404971,7250.0,7047.64990234375,Head and Shoulder,7179.25,7139.2001953125,,,-278089.5052294781,Ascending Triangle,-1.0,-1.0,,,Double Top,-40.0498046875007,8340.694335937524,LH
2023-02-16,7187.64990234375,7193.7998046875,7108.0,7171.75,7139.12109375,264069,7229.89990234375,7047.64990234375,,7171.75,7139.2001953125,,97481.64025878588,,Ascending Triangle,-1.0,-1.0,,,,12.649902343749554,6759.703125000014,
2023-02-17,7176.0,7393.2998046875,7176.0,7297.85009765625,7264.6474609375,1063293,7393.2998046875,7047.64990234375,,7297.85009765625,7151.85009765625,,151761.45738769002,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,19.899902343750586,6534.953124999983,
2023-02-20,7301.0,7492.0,7301.0,7426.85009765625,7393.060546875,713498,7492.0,7108.0,,7426.85009765625,7171.75,,939663.0694677675,,Ascending Triangle,1.0,1.0,Wedge Up,Channel Up,,126.1000976562479,3136.5468750000714,HH
2023-02-21,7444.7998046875,7485.0,7321.0,7340.5498046875,7307.15283203125,399493,7492.0,7176.0,Inverse Head and Shoulder,7426.85009765625,7297.85009765625,,949971.7749023563,,,1.0,1.0,Wedge Up,Channel Up,Double Bottom,129.00000000000173,3040.8500976561913,HL
