Datetime,Open,High,Low,Close,Volume
2023-07-31 08:00:00+05:30,1832.0,1854.199951171875,1820.8499755859375,1836.300048828125,159574
2023-07-31 12:00:00+05:30,1836.300048828125,1853.0,1834.0,1849.449951171875,298527
2023-08-01 08:00:00+05:30,1851.949951171875,1853.25,1828.199951171875,1829.3499755859375,128339
2023-08-01 12:00:00+05:30,1828.6500244140625,1841.800048828125,1824.949951171875,1833.199951171875,315570
2023-08-02 08:00:00+05:30,1834.5999755859375,1834.5999755859375,1812.699951171875,1814.5,173782
2023-08-02 12:00:00+05:30,1814.5,1823.75,1806.050048828125,1821.0,412053
2023-08-03 08:00:00+05:30,1813.199951171875,1826.5999755859375,1804.6500244140625,1804.75,108797
2023-08-03 12:00:00+05:30,1804.8499755859375,1834.5999755859375,1795.0,1830.550048828125,469556
2023-08-04 08:00:00+05:30,1831.0,1845.050048828125,1825.0,1836.0,96552
2023-08-04 12:00:00+05:30,1835.8499755859375,1837.5999755859375,1825.0,1826.050048828125,228011
2023-08-07 08:00:00+05:30,1830.0,1860.5,1827.1500244140625,1839.75,229394
2023-08-07 12:00:00+05:30,1839.5999755859375,1864.949951171875,1839.449951171875,1855.5999755859375,474344
2023-08-08 08:00:00+05:30,1856.800048828125,1867.0,1839.0,1846.5,124687
2023-08-08 12:00:00+05:30,1845.75,1853.3499755859375,1831.949951171875,1842.449951171875,355241
2023-08-09 08:00:00+05:30,1843.199951171875,1846.0,1828.0,1835.9000244140625,182376
2023-08-09 12:00:00+05:30,1835.6500244140625,1849.949951171875,1827.9000244140625,1845.6500244140625,298392
2023-08-10 08:00:00+05:30,1838.300048828125,1855.0,1833.5999755859375,1834.5,216137
2023-08-10 12:00:00+05:30,1834.5,1842.699951171875,1824.25,1830.300048828125,413212
2023-08-11 08:00:00+05:30,1828.800048828125,1840.0,1810.199951171875,1820.0,348149
2023-08-11 12:00:00+05:30,1819.9000244140625,1833.3499755859375,1813.550048828125,1825.4000244140625,398027
2023-08-14 08:00:00+05:30,1829.1500244140625,1829.1500244140625,1794.0,1806.3499755859375,170596
2023-08-14 12:00:00+05:30,1806.050048828125,1815.449951171875,1805.0,1811.75,151803
