Datetime,Open,High,Low,Close,Volume
2023-07-31 08:00:00+05:30,4905.10009765625,4905.10009765625,4786.75,4796.14990234375,316062
2023-07-31 12:00:00+05:30,4796.14990234375,4810.7998046875,4765.25,4810.0,343409
2023-08-01 08:00:00+05:30,4824.9501953125,4824.9501953125,4750.10009765625,4787.2998046875,164953
2023-08-01 12:00:00+05:30,4787.2998046875,4843.5,4787.25,4817.35009765625,223666
2023-08-02 08:00:00+05:30,4817.64990234375,4833.7001953125,4770.0,4792.0498046875,247438
2023-08-02 12:00:00+05:30,4792.0,4818.35009765625,4771.2001953125,4797.9501953125,147983
2023-08-03 08:00:00+05:30,4805.0,4818.60009765625,4770.0,4800.5,59842
2023-08-03 12:00:00+05:30,4800.0,4805.4501953125,4779.10009765625,4798.9501953125,123169
2023-08-04 08:00:00+05:30,4790.0,4832.0,4766.64990234375,4778.4501953125,91154
2023-08-04 12:00:00+05:30,4779.5,4830.0,4778.39990234375,4798.5,204338
2023-08-07 08:00:00+05:30,4774.89990234375,4813.85009765625,4623.5,4628.0,347646
2023-08-07 12:00:00+05:30,4627.75,4673.2998046875,4618.2001953125,4659.75,392700
2023-08-08 08:00:00+05:30,4642.60009765625,4677.25,4606.2998046875,4608.25,144859
2023-08-08 12:00:00+05:30,4608.0,4615.39990234375,4596.0498046875,4608.0,285541
2023-08-09 08:00:00+05:30,4625.0,4632.7001953125,4585.0,4606.60009765625,589774
2023-08-09 12:00:00+05:30,4607.2998046875,4609.7001953125,4575.0,4600.89990234375,268474
2023-08-10 08:00:00+05:30,4601.14990234375,4609.9501953125,4536.0,4555.0,302740
2023-08-10 12:00:00+05:30,4555.2998046875,4555.2998046875,4531.2998046875,4541.25,284161
2023-08-11 08:00:00+05:30,4542.85009765625,4542.85009765625,4494.0,4521.9501953125,648242
2023-08-11 12:00:00+05:30,4521.9501953125,4521.9501953125,4489.75,4510.2998046875,464592
2023-08-14 08:00:00+05:30,4525.0,4525.0,4455.0,4484.9501953125,145959
