date,totalPL,balance,totalPLcumsum,pct_change,day
2021-01-01,820.0000000000003,100820.0,820.0000000000003,,Friday
2021-01-04,569.9999999999991,101390.0,1389.9999999999995,0.005653640150763639,Monday
2021-01-05,-319.99999999999943,101070.0,1070.0,-0.003156129795837903,Tuesday
2021-01-06,657.5000000000017,101727.5,1727.5000000000018,0.006505392302364799,Wednesday
2021-01-07,1689.9999999999998,103417.5,3417.500000000002,0.016613010247966464,Thursday
2021-01-08,4677.499999999999,108095.0,8095.000000000001,0.04522928904682466,Friday
2021-01-11,4342.5,112437.5,12437.5,0.04017299597576196,Monday
2021-01-12,4257.500000000001,116695.0,16695.0,0.037865480822679265,Tuesday
2021-01-13,-967.5,115727.5,15727.5,-0.008290843652255853,Wednesday
2021-01-14,-387.4999999999995,115340.0,15340.0,-0.0033483830550214977,Thursday
2021-01-15,692.5000000000019,116032.5,16032.500000000002,0.006003988208774125,Friday
2021-01-18,4109.999999999999,120142.5,20142.5,0.03542111046474039,Monday
2021-01-19,355.0000000000004,120497.5,20497.5,0.0029548244792643175,Tuesday
2021-01-20,192.49999999999991,120690.0,20690.0,0.0015975435175004105,Wednesday
2021-01-21,-4584.999999999999,116105.0,16105.0,-0.03798989145745302,Thursday
2021-01-22,-1404.9999999999995,114700.0,14700.0,-0.012101115369708482,Friday
2021-01-25,1949.9999999999998,116650.0,16650.0,0.017000871839581544,Monday
2021-01-27,-1050.0,115600.0,15600.0,-0.009001285897985434,Wednesday
2021-01-28,205.0000000000009,115805.0,15805.0,0.0017733564013839853,Thursday
2021-01-29,2679.9999999999995,118485.0,18485.0,0.023142351366521208,Friday
2021-02-01,-5900.000000000004,112585.0,12584.999999999996,-0.04979533274254122,Monday
2021-02-02,0.0,112585.0,12584.999999999996,0.0,Tuesday
2021-02-03,0.0,112585.0,12584.999999999996,0.0,Wednesday
2021-02-04,0.0,112585.0,12584.999999999996,0.0,Thursday
2021-02-05,912.5000000000008,113497.5,13497.499999999996,0.008104987342896441,Friday
2021-02-08,3074.9999999999995,116572.5,16572.499999999996,0.02709310777770435,Monday
2021-02-09,924.999999999999,117497.5,17497.499999999996,0.007934976087842438,Tuesday
2021-02-10,1235.0000000000007,118732.5,18732.499999999996,0.010510861933232585,Wednesday
2021-02-11,3307.5,122040.0,22039.999999999996,0.027856736782262637,Thursday
2021-02-12,805.0,122845.0,22844.999999999996,0.006596197967879469,Friday
2021-02-15,4180.000000000001,127025.0,27024.999999999996,0.034026618910008466,Monday
2021-02-16,-1737.5000000000011,125287.5,25287.499999999996,-0.013678409761857857,Tuesday
2021-02-17,1774.9999999999998,127062.5,27062.499999999996,0.014167414945625012,Wednesday
2021-02-18,547.5000000000002,127610.0,27609.999999999996,0.004308903098868777,Thursday
2021-02-19,1702.5000000000005,129312.5,29312.499999999996,0.013341430922341413,Friday
2021-02-22,16007.500000000002,145320.0,45320.0,0.12378927017883035,Monday
2021-02-23,-5840.000000000002,139480.0,39480.0,-0.04018717313514997,Tuesday
2021-02-24,175.00000000000043,139655.0,39655.0,0.0012546601663321333,Wednesday
2021-02-25,-2495.0000000000014,137160.0,37160.0,-0.01786545415488172,Thursday
2021-02-26,5882.5,143042.5,43042.5,0.04288786818314372,Friday
2021-03-01,-3382.5,139660.0,39660.0,-0.02364681825331627,Monday
2021-03-02,577.5000000000009,140237.5,40237.5,0.0041350422454531355,Tuesday
2021-03-03,-3177.499999999998,137060.0,37060.0,-0.02265799090828058,Wednesday
2021-03-04,3037.4999999999973,140097.5,40097.5,0.022161826937107776,Thursday
2021-03-05,-1435.000000000002,138662.5,38662.5,-0.010242866575063792,Friday
2021-03-08,-1199.999999999999,137462.5,37462.5,-0.008654106193094702,Monday
2021-03-09,0.0,137462.5,37462.5,0.0,Tuesday
2021-03-10,0.0,137462.5,37462.5,0.0,Wednesday
2021-03-12,-967.5000000000008,136495.0,36495.0,-0.007038283168136816,Friday
2021-03-15,2542.5,139037.5,39037.5,0.0186270559361148,Monday
2021-03-16,1037.500000000001,140075.0,40075.0,0.007462015643261655,Tuesday
