,Unnamed: 0,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
10,10,17531.1,17521.2,17531.1,17521.85,2022-01-03 11:45:00+05:30,17389.48434603731,76.88596191362181,25.59642857142847,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,110.6,90.15,4.4,15.05,-1.0,-1.0,1.0,1.0,-110.6,-90.15,4.4,15.05,0.0,0.0,0.0,0.0,-111.05,-87.9,4.3,15.1,-0.45000000000000284,2.25,-0.10000000000000053,0.049999999999998934,-87.49999999999977,124.99999999999969,100125.0,-2787.5000000000005
11,11,17534.1,17516.45,17522.0,17524.85,2022-01-03 12:00:00+05:30,17396.288319361134,77.31607000894431,25.89999999999964,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,112.3,88.5,4.35,14.8,-1.0,-1.0,1.0,1.0,-112.3,-88.5,4.35,14.8,0.0,0.0,0.0,0.0,-110.6,-90.15,4.4,15.05,1.7000000000000028,-1.6500000000000057,0.05000000000000071,0.25,-17.499999999999893,107.4999999999998,100107.5,-2787.5000000000005
12,12,17545.6,17523.7,17524.7,17543.6,2022-01-03 12:15:00+05:30,17403.138373091882,79.84092837379994,26.58214285714218,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,112.0,87.0,4.3,14.95,-1.0,-1.0,1.0,1.0,-112.0,-87.0,4.3,14.95,0.0,0.0,0.0,0.0,-112.3,-88.5,4.35,14.8,-0.29999999999999716,-1.5,0.04999999999999982,-0.14999999999999858,94.9999999999998,202.4999999999996,100202.5,-2787.5000000000005
13,13,17579.2,17541.55,17542.05,17571.3,2022-01-03 12:30:00+05:30,17410.21826051095,82.87373406484745,26.90714285714213,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,123.0,79.25,5.55,14.15,-1.0,-1.0,1.0,1.0,-123.0,-79.25,5.55,14.15,0.0,0.0,0.0,0.0,-112.0,-87.0,4.3,14.95,11.0,-7.75,-1.25,0.7999999999999989,-139.99999999999994,62.49999999999966,100062.5,-2787.5000000000005
14,14,17576.25,17561.85,17570.75,17568.1,2022-01-03 12:45:00+05:30,17417.36277001468,81.35111087873504,21.12857142857085,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,144.8,75.35,9.05,14.1,-1.0,-1.0,1.0,1.0,-144.8,-75.35,9.05,14.1,0.0,0.0,0.0,0.0,-123.0,-79.25,5.55,14.15,21.80000000000001,-3.9000000000000057,-3.500000000000001,0.05000000000000071,-722.5000000000003,-660.0000000000007,99340.0,-2787.5000000000005
15,15,17579.3,17567.6,17567.9,17576.8,2022-01-03 13:00:00+05:30,17424.596307371507,82.3030889760577,20.22857142857096,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,145.85,75.05,9.2,14.0,-1.0,-1.0,1.0,1.0,-145.85,-75.05,9.2,14.0,0.0,0.0,0.0,0.0,-144.8,-75.35,9.05,14.1,1.049999999999983,-0.29999999999999716,-0.14999999999999858,0.09999999999999964,-34.999999999999346,-695.0,99305.0,-2787.5000000000005
16,16,17588.4,17575.05,17576.85,17582.8,2022-01-03 13:15:00+05:30,17431.887634599654,82.94952729839335,18.449999999999687,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,148.85,72.7,9.7,12.65,-1.0,-1.0,1.0,1.0,-148.85,-72.7,9.7,12.65,0.0,0.0,0.0,0.0,-145.85,-75.05,9.2,14.0,3.0,-2.3499999999999943,-0.5,1.3499999999999996,-75.00000000000027,-770.0000000000002,99230.0,-2787.5000000000005
17,17,17583.7,17567.95,17583.7,17575.95,2022-01-03 13:30:00+05:30,17439.098627528125,79.38429192351698,18.432142857142544,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,147.25,71.4,9.45,12.15,-1.0,-1.0,1.0,1.0,-147.25,-71.4,9.45,12.15,0.0,0.0,0.0,0.0,-148.85,-72.7,9.7,12.65,-1.5999999999999943,-1.2999999999999972,0.25,0.5,107.49999999999957,-662.5000000000007,99337.5,-2787.5000000000005
18,18,17595.05,17574.85,17575.35,17589.75,2022-01-03 13:45:00+05:30,17446.30510897366,81.14272714821918,17.7321428571426,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,147.9,69.75,9.45,12.05,-1.0,-1.0,1.0,1.0,-147.9,-69.75,9.45,12.05,0.0,0.0,0.0,0.0,-147.25,-71.4,9.45,12.15,0.6500000000000057,-1.6500000000000057,0.0,0.09999999999999964,45.000000000000014,-617.5000000000007,99382.5,-2787.5000000000005
19,19,17614.2,17588.95,17588.95,17612.95,2022-01-03 14:00:00+05:30,17453.657289296192,83.66524538982723,18.09642857142847,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,158.85,61.2,10.3,10.5,-1.0,-1.0,1.0,1.0,-158.85,-61.2,10.3,10.5,0.0,0.0,0.0,0.0,-147.9,-69.75,9.45,12.05,10.949999999999989,-8.549999999999997,-0.8500000000000014,1.5500000000000007,-154.99999999999955,-772.5000000000002,99227.5,-2787.5000000000005
