,High,Low,Open,Close,Datetime,ama,rsi,atr,PL,PH,PH_val,PL_val,Slope,slope_ph,slope_pl,upper,lower,upos,dnos,IsPivotHigh,signal,closest_expiry,dby,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,balance,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,position,stoploss
0,22662.2,22567.85,22583.15,22627.65,2024-05-02 09:00:00+00:00,,,94.35000000000218,,,,,6.73928571428587,6.73928571428587,6.73928571428587,22655.46071428572,22574.589285714283,0,0,,Hold,2024-05-02,02MAY24,0.0,0.0,0.0,0,0,0,0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,
1,22668.4,22618.45,22627.65,22646.5,2024-05-02 09:15:00+00:00,,,72.15000000000146,,,22668.4,22618.45,5.153571428571532,5.153571428571532,5.153571428571532,22650.307142857146,22579.742857142854,0,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,hold,
2,22674.35,22617.7,22646.25,22642.45,2024-05-02 09:30:00+00:00,,,66.98333333333358,,,22674.35,22617.7,4.784523809523827,4.784523809523827,4.784523809523827,22645.522619047617,22584.52738095238,0,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,hold,
3,22680.35,22634.25,22640.9,22669.5,2024-05-02 09:45:00+00:00,,,61.76249999999982,,,22680.35,22634.25,4.41160714285713,4.41160714285713,4.41160714285713,22641.11101190476,22588.93898809524,1,0,,Buy,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,beginx,
4,22677.45,22655.95,22669.0,22677.45,2024-05-02 10:00:00+00:00,,,53.70999999999985,,,22677.45,22655.95,3.8364285714285606,3.8364285714285606,3.8364285714285606,22637.27458333333,22592.775416666664,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
5,22693.75,22669.6,22677.15,22684.15,2024-05-02 10:15:00+00:00,,,48.78333333333345,,,22693.75,22669.6,3.484523809523818,3.484523809523818,3.484523809523818,22633.79005952381,22596.259940476182,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
6,22692.85,22664.55,22682.3,22682.3,2024-05-02 10:30:00+00:00,,,45.85714285714285,,,22692.85,22664.55,3.2755102040816326,3.2755102040816326,3.2755102040816326,22630.514549319727,22599.53545068027,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
7,22685.2,22655.2,22682.7,22667.55,2024-05-02 10:45:00+00:00,,,43.875,,,22685.2,22655.2,3.133928571428572,3.133928571428572,3.133928571428572,22627.3806207483,22602.669379251696,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
8,22672.65,22631.05,22665.95,22665.0,2024-05-02 11:00:00+00:00,,,43.62222222222246,,,22672.65,22631.05,3.115873015873033,3.115873015873033,3.115873015873033,22624.264747732428,22605.785252267568,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
9,22706.9,22666.2,22666.2,22689.45,2024-05-02 11:15:00+00:00,,,43.450000000000365,,,22706.9,22666.2,3.103571428571455,3.103571428571455,3.103571428571455,22621.161176303856,22608.88882369614,1,0,,Hold,2024-05-02,02MAY24,22650.0,22750.0,22550.0,0,0,0,0,,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,beginx,-3000.0
