,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
0,10885.3,10832.9,10881.7,10847.6,2019-01-01 09:15:00+05:30,,,52.39999999999964,Hold,,,hold,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,
1,10850.7,10835.2,10847.85,10841.5,2019-01-01 09:30:00+05:30,,,33.94999999999982,Buy,,,hold,10850.0,11150.0,10550.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100000.0,
2,10847.7,10821.75,10842.0,10824.75,2019-01-01 09:45:00+05:30,,,31.283333333333456,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,
3,10828.5,10813.65,10825.35,10827.7,2019-01-01 10:00:00+05:30,,,27.175000000000185,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
4,10833.85,10822.7,10827.85,10831.7,2019-01-01 10:15:00+05:30,,,23.97000000000008,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
5,10837.55,10825.5,10831.55,10828.95,2019-01-01 10:30:00+05:30,,,21.98333333333328,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
6,10833.85,10825.05,10829.0,10831.4,2019-01-01 10:45:00+05:30,,,20.100000000000104,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
7,10842.35,10829.7,10832.1,10836.9,2019-01-01 11:00:00+05:30,,,19.168750000000045,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
8,10841.35,10830.95,10836.75,10831.35,2019-01-01 11:15:00+05:30,,,18.194444444444443,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
9,10837.4,10829.25,10830.6,10836.45,2019-01-01 11:30:00+05:30,,,17.189999999999962,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
10,10837.1,10830.7,10836.4,10833.2,2019-01-01 11:45:00+05:30,,,16.209090909090843,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
11,10839.1,10832.2,10833.55,10836.7,2019-01-01 12:00:00+05:30,,,15.433333333333245,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
12,10838.4,10832.65,10836.4,10832.65,2019-01-01 12:15:00+05:30,,,14.688461538461455,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
13,10833.25,10822.25,10833.05,10826.4,2019-01-01 12:30:00+05:30,,,14.424999999999924,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
14,10826.35,10819.7,10826.2,10822.55,2019-01-01 12:45:00+05:30,10837.232095682246,32.61623872310846,11.160714285714157,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
15,10828.75,10821.2,10822.5,10828.1,2019-01-01 13:00:00+05:30,10837.148387635369,37.77788731700144,10.59285714285696,Hold,,,beginx,10800.0,11100.0,10500.0,0,0,0,0,-1.0,-1.0,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-3000.0
