,Date,Daily Brokerage,Signals
38,2019-02-22,140,"beginx, squareoff, hold, buy"
39,2019-02-25,220,"beginx, squareoff, hold, buy"
40,2019-02-26,140,"beginx, squareoff, hold, buy"
41,2019-02-27,80,"beginx, hold, squareoff"
42,2019-02-28,220,"beginx, squareoff, hold, sell"
43,2019-03-01,140,"beginx, squareoff, hold, buy"
44,2019-03-05,80,"beginx, hold, squareoff"
45,2019-03-06,140,"beginx, squareoff, hold, buy"
46,2019-03-07,140,"beginx, squareoff, hold, buy"
47,2019-03-08,80,"beginx, hold, squareoff"
48,2019-03-11,80,"beginx, hold, squareoff"
49,2019-03-12,220,"beginx, squareoff, hold, buy"
50,2019-03-13,140,"beginx, squareoff, hold, buy"
51,2019-03-14,140,"beginx, squareoff, hold, buy"
52,2019-03-15,80,"beginx, hold, squareoff"
53,2019-03-18,80,"beginx, hold, squareoff"
54,2019-03-19,140,"beginx, squareoff, hold, buy"
55,2019-03-20,140,"beginx, squareoff, hold, buy"
56,2019-03-22,140,"beginx, squareoff, hold, sell"
57,2019-03-25,80,"beginx, hold, squareoff"
58,2019-03-26,80,"beginx, hold, squareoff"
59,2019-03-27,140,"beginx, hold, hard-squareoff, buy"
60,2019-03-28,140,"beginx, squareoff, hold, buy"
61,2019-03-29,140,"beginx, squareoff, hold, buy"
62,2019-04-01,80,"beginx, hold, squareoff"
63,2019-04-02,80,"beginx, hold, squareoff"
64,2019-04-03,220,"beginx, squareoff, hold, buy"
65,2019-04-04,80,"beginx, hold, squareoff"
66,2019-04-05,140,"beginx, squareoff, hold, buy"
67,2019-04-08,220,"beginx, squareoff, hold, sell"
68,2019-04-09,140,"beginx, squareoff, hold, buy"
69,2019-04-10,220,"beginx, squareoff, hold, buy"
70,2019-04-11,80,"beginx, hold, squareoff"
71,2019-04-12,220,"beginx, squareoff, hold, buy"
72,2019-04-15,80,"beginx, hold, squareoff"
73,2019-04-16,80,"beginx, hold, squareoff"
74,2019-04-18,140,"beginx, squareoff, hold, sell"
75,2019-04-22,80,"beginx, hold, squareoff"
76,2019-04-23,140,"beginx, squareoff, hold, sell"
77,2019-04-24,80,"beginx, hold, squareoff"
78,2019-04-25,80,"beginx, hold, squareoff"
79,2019-04-26,80,"beginx, hold, squareoff"
80,2019-04-30,140,"beginx, squareoff, hold, buy"
81,2019-05-02,140,"beginx, squareoff, hold, sell"
82,2019-05-03,220,"beginx, squareoff, hold, buy"
83,2019-05-06,80,"beginx, hold, squareoff"
84,2019-05-07,220,"beginx, squareoff, hold, sell"
85,2019-05-08,80,"beginx, hold, squareoff"
86,2019-05-09,80,"beginx, hold, squareoff"
87,2019-05-10,220,"beginx, squareoff, hold, buy"
88,2019-05-13,140,"beginx, squareoff, hold, sell"
89,2019-05-14,80,"beginx, hold, squareoff"
90,2019-05-15,140,"beginx, hold, hard-squareoff, buy"
91,2019-05-16,140,"beginx, hold, hard-squareoff, sell"
92,2019-05-17,80,"beginx, hold, squareoff"
93,2019-05-20,80,"beginx, hold, squareoff"
