,CumReturns,Date,Daily Brokerage,Final Balance
0,0.0,2019-01-01,80,100000.0
1,0.0,2019-01-02,220,100000.0
2,0.0,2019-01-03,220,100000.0
3,0.0,2019-01-04,80,100000.0
4,0.0,2019-01-07,80,100000.0
5,0.0,2019-01-08,140,100000.0
6,0.0,2019-01-09,220,100000.0
7,0.0,2019-01-10,140,100000.0
8,0.0,2019-01-11,220,100000.0
9,0.0,2019-01-14,80,100000.0
10,0.0,2019-01-15,80,100000.0
11,0.0,2019-01-16,140,100000.0
12,0.0,2019-01-17,220,100000.0
13,0.0,2019-01-18,140,100000.0
14,0.0,2019-01-21,140,100000.0
15,0.0,2019-01-22,220,100000.0
16,0.0,2019-01-23,140,100000.0
17,0.0,2019-01-24,140,100000.0
18,-1062.5,2019-01-25,80,98857.5
19,677.5000000000003,2019-01-28,80,99455.0
20,1309.9999999999998,2019-01-29,80,100685.0
21,-2355.0000000000005,2019-01-30,140,98190.0
22,-2627.5,2019-01-31,80,95482.5
23,0.0,2019-02-01,80,95482.5
24,0.0,2019-02-04,140,95482.5
25,0.0,2019-02-05,140,95482.5
26,0.0,2019-02-06,80,95482.5
27,0.0,2019-02-07,80,95482.5
28,0.0,2019-02-08,80,95482.5
29,1217.500000000001,2019-02-11,140,96560.0
30,722.5000000000001,2019-02-12,80,97202.5
31,-312.5000000000001,2019-02-13,220,96670.0
32,2219.9999999999995,2019-02-14,80,98810.0
33,550.0,2019-02-15,80,99280.0
34,2127.5,2019-02-18,140,101267.5
35,-1082.5000000000002,2019-02-19,140,100045.0
36,917.5000000000005,2019-02-20,140,100822.5
37,667.5000000000003,2019-02-21,80,101410.0
38,189.99999999999991,2019-02-22,140,101460.0
39,1015.0000000000008,2019-02-25,220,102255.0
40,-2469.9999999999995,2019-02-26,140,99645.0
41,-687.4999999999992,2019-02-27,80,98877.5
42,-1409.9999999999998,2019-02-28,220,97247.5
43,1924.9999999999995,2019-03-01,140,99032.5
44,-2607.5000000000005,2019-03-05,80,96345.0
45,1687.4999999999998,2019-03-06,140,97892.5
46,2335.0,2019-03-07,140,100087.5
47,352.4999999999998,2019-03-08,80,100360.0
48,647.5,2019-03-11,80,100927.5
49,480.0,2019-03-12,220,101187.5
50,1734.9999999999998,2019-03-13,140,102782.5
51,1687.4999999999998,2019-03-14,140,104330.0
52,304.9999999999993,2019-03-15,80,104555.0
53,1370.0,2019-03-18,80,105845.0
54,1645.0000000000005,2019-03-19,140,107350.0
55,720.0000000000002,2019-03-20,140,107930.0
56,4472.5,2019-03-22,140,112262.5
57,892.5,2019-03-25,80,113075.0
58,-1720.000000000001,2019-03-26,80,111275.0
59,-3415.0000000000005,2019-03-27,140,107720.0
60,1715.0,2019-03-28,140,109295.0
61,-342.5000000000005,2019-03-29,140,108812.5
62,652.5000000000002,2019-04-01,80,109385.0
63,-60.0000000000004,2019-04-02,80,109245.0
64,-1855.0,2019-04-03,220,107170.0
65,-257.50000000000045,2019-04-04,80,106832.5
66,1637.4999999999998,2019-04-05,140,108330.0
67,2780.000000000001,2019-04-08,220,110890.0
68,4612.499999999999,2019-04-09,140,115362.5
69,-1557.5000000000005,2019-04-10,220,113585.0
70,1780.0000000000002,2019-04-11,80,115285.0
71,2150.0000000000005,2019-04-12,220,117215.0
72,359.99999999999983,2019-04-15,80,117495.0
73,-122.50000000000044,2019-04-16,80,117292.5
74,2750.0,2019-04-18,140,119902.5
75,559.9999999999998,2019-04-22,80,120382.5
76,3204.9999999999995,2019-04-23,140,123447.5
77,-3152.5,2019-04-24,80,120215.0
78,-3007.5,2019-04-25,80,117127.5
79,892.4999999999998,2019-04-26,80,117940.0
80,-107.49999999999989,2019-04-30,140,117692.5
81,2722.4999999999995,2019-05-02,140,120275.0
82,-60.000000000000455,2019-05-03,220,119995.0
83,212.50000000000009,2019-05-06,80,120127.5
84,1850.0000000000005,2019-05-07,220,121757.5
85,-180.0000000000003,2019-05-08,80,121497.5
86,2220.0,2019-05-09,80,123637.5
87,-22.49999999999987,2019-05-10,220,123395.0
88,3862.5,2019-05-13,140,127117.5
89,102.49999999999976,2019-05-14,80,127140.0
90,-3172.500000000001,2019-05-15,140,123827.5
91,-2475.0,2019-05-16,140,121212.5
92,-419.9999999999988,2019-05-17,80,120712.5
93,1779.9999999999995,2019-05-20,80,122412.5
94,-589.9999999999985,2019-05-21,80,121742.5
95,-3345.000000000002,2019-05-22,140,118257.5
96,-2995.0,2019-05-23,140,115122.5
97,-1680.0,2019-05-24,80,113362.5
98,567.4999999999995,2019-05-27,80,113850.0
99,-1192.4999999999998,2019-05-28,140,112517.5
100,1847.5,2019-05-29,140,114225.0
101,662.5000000000001,2019-05-30,80,114807.5
102,-4332.5,2019-05-31,80,110395.0
103,4472.500000000001,2019-06-03,220,114647.5
104,1670.0000000000005,2019-06-04,80,116237.5
105,-2259.9999999999995,2019-06-06,80,113897.5
106,79.99999999999966,2019-06-07,80,113897.5
107,222.5,2019-06-10,80,114040.0
108,1137.5,2019-06-11,80,115097.5
109,842.5,2019-06-12,80,115860.0
110,137.4999999999997,2019-06-13,140,115857.5
111,2405.000000000001,2019-06-14,140,118122.5
112,-362.4999999999996,2019-06-17,80,117680.0
113,272.49999999999955,2019-06-18,140,117812.5
114,-3365.0000000000005,2019-06-19,140,114307.5
115,965.0,2019-06-20,220,115052.5
116,639.9999999999994,2019-06-21,80,115612.5
117,1720.0000000000005,2019-06-24,140,117192.5
118,1449.9999999999998,2019-06-25,220,118422.5
